선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
1687,메인기록,2019,삼성,20,50,42,10,1,4,1,6,18,0,0.391,0.238,0.333,0.357,0.690,0.318,-,,,,,,,,,,,,,,,,,,,,
1687,메인기록,2020,삼성,12,15,15,3,0,0,2,0,5,0,0.300,0.200,0.200,0.200,0.400,0.184,-,,,,,,,,,,,,,,,,,,,,
1687,메인기록,2023,삼성,8,8,7,1,0,0,0,1,0,0,0.143,0.143,0.250,0.143,0.393,0.205,-,,,,,,,,,,,,,,,,,,,,
1687,메인기록,2021,삼성,10,18,15,2,0,0,1,2,8,0,0.286,0.133,0.235,0.200,0.435,0.214,-,,,,,,,,,,,,,,,,,,,,
1687,기본기록,2019,삼성,20,50,42,10,1,4,1,6,18,0,,0.238,,,,,,7,2,0,0,0,0,2,0,0,,,,,,,,,,,
1687,기본기록,2020,삼성,12,15,15,3,0,0,2,0,5,0,,0.200,,,,,,3,0,0,0,0,0,0,0,0,,,,,,,,,,,
1687,기본기록,2023,삼성,8,8,7,1,0,0,0,1,0,0,,0.143,,,,,,1,0,0,0,0,0,0,0,0,,,,,,,,,,,
1687,기본기록,2021,삼성,10,18,15,2,0,0,1,2,8,0,,0.133,,,,,,1,1,0,0,0,0,1,0,1,,,,,,,,,,,
1687,세부기록,2019,삼성,,50,,,,,,,,,0.391,0.238,,,0.690,0.318,-,,,,,,,,,,12.0,36.0,0.33,0.119,42.00,5.63,4.47,5.12,2.81,0.04,-1.31
1687,세부기록,2020,삼성,,15,,,,,,,,,0.300,0.200,,,0.400,0.184,-,,,,,,,,,,0.0,33.3,0.00,0.000,-,0.60,1.35,-0.30,1.81,0.01,-2.22
1687,세부기록,2023,삼성,,8,,,,,,,,,0.143,0.143,,,0.393,0.205,-,,,,,,,,,,12.5,0.0,-,0.000,-,0.32,1.42,0.00,1.81,0.01,-1.03
1687,세부기록,2021,삼성,,18,,,,,,,,,0.286,0.133,,,0.435,0.214,-,,,,,,,,,,11.1,44.4,0.25,0.067,-,0.67,1.21,0.13,3.25,-0.45,-2.18
