선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
1990,메인기록,2023,삼성,82,293,263,60,4,19,21,20,53,4,0.271,0.228,0.289,0.327,0.616,0.283,-,,,,,,,,,,,,,,,,,,,,
1990,메인기록,2024,삼성,46,185,164,37,6,22,20,19,40,0,0.263,0.226,0.314,0.360,0.674,0.308,-,,,,,,,,,,,,,,,,,,,,
1990,메인기록,2022,삼성,41,133,129,27,3,6,11,3,21,0,0.229,0.209,0.227,0.302,0.529,0.236,-,,,,,,,,,,,,,,,,,,,,
1990,기본기록,2023,삼성,82,293,263,60,4,19,21,20,53,4,,0.228,,,,,,44,10,2,0,3,1,7,8,1,,,,,,,,,,,
1990,기본기록,2024,삼성,46,185,164,37,6,22,20,19,40,0,,0.226,,,,,,27,4,0,0,2,0,0,5,0,,,,,,,,,,,
1990,기본기록,2022,삼성,41,133,129,27,3,6,11,3,21,0,,0.209,,,,,,21,3,0,0,0,0,1,6,0,,,,,,,,,,,
1990,세부기록,2023,삼성,,293,,,,,,,,,0.271,0.228,,,0.616,0.283,-,,,,,,,,,,6.8,18.1,0.38,0.099,65.75,24.68,3.04,20.56,3.66,0.39,-17.08
1990,세부기록,2024,삼성,,185,,,,,,,,,0.263,0.226,,,0.674,0.308,-,,,,,,,,,,10.3,21.6,0.48,0.134,27.33,18.47,3.78,17.19,1.79,0.14,-6.58
1990,세부기록,2022,삼성,,133,,,,,,,,,0.229,0.209,,,0.529,0.236,-,,,,,,,,,,2.3,15.8,0.14,0.093,43.00,7.27,1.80,3.67,0.08,0.07,-13.42
