선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
1990,메인기록,2024,삼성,57,224,190,51,10,39,36,29,42,0,0.295,0.268,0.375,0.468,0.843,0.376,-,,,,,,,,,,,,,,,,,,,,
1990,메인기록,2023,삼성,70,250,208,55,7,30,31,26,36,2,0.282,0.264,0.347,0.413,0.760,0.341,-,,,,,,,,,,,,,,,,,,,,
1990,메인기록,2022,삼성,43,128,124,23,5,11,15,2,24,0,0.189,0.185,0.198,0.323,0.521,0.226,-,,,,,,,,,,,,,,,,,,,,
1990,기본기록,2024,삼성,57,224,190,51,10,39,36,29,42,0,,0.268,,,,,,33,8,0,0,4,1,1,3,1,,,,,,,,,,,
1990,기본기록,2023,삼성,70,250,208,55,7,30,31,26,36,2,,0.264,,,,,,39,8,1,0,3,5,13,6,4,,,,,,,,,,,
1990,기본기록,2022,삼성,43,128,124,23,5,11,15,2,24,0,,0.185,,,,,,16,2,0,0,0,0,2,4,0,,,,,,,,,,,
1990,세부기록,2024,삼성,,224,,,,,,,,,0.295,0.268,,,0.843,0.376,-,,,,,,,,,,13.0,18.8,0.69,0.200,19.00,35.04,6.57,34.63,3.28,-0.28,5.85
1990,세부기록,2023,삼성,,250,,,,,,,,,0.282,0.264,,,0.760,0.341,-,,,,,,,,,,10.4,14.4,0.72,0.149,29.71,30.00,4.60,30.79,3.26,-1.32,-1.33
1990,세부기록,2022,삼성,,128,,,,,,,,,0.189,0.185,,,0.521,0.226,-,,,,,,,,,,1.6,18.8,0.08,0.138,24.80,6.82,1.72,2.37,1.63,0.05,-14.08
