선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
704,메인기록,2024,삼성,53,197,166,51,2,31,29,23,39,6,0.386,0.307,0.397,0.380,0.777,0.361,-,,,,,,,,,,,,,,,,,,,,
704,메인기록,2023,삼성,31,132,112,32,0,23,18,11,15,16,0.320,0.286,0.346,0.295,0.641,0.303,-,,,,,,,,,,,,,,,,,,,,
704,기본기록,2024,삼성,53,197,166,51,2,31,29,23,39,6,,0.307,,,,,,43,6,0,0,3,2,5,3,3,,,,,,,,,,,
704,기본기록,2023,삼성,31,132,112,32,0,23,18,11,15,16,,0.286,,,,,,31,1,0,0,1,3,8,5,0,,,,,,,,,,,
704,세부기록,2024,삼성,,197,,,,,,,,,0.386,0.307,,,0.777,0.361,-,,,,,,,,,,11.7,19.8,0.59,0.073,83.00,27.20,5.83,27.83,4.52,-0.19,2.52
704,세부기록,2023,삼성,,132,,,,,,,,,0.320,0.286,,,0.641,0.303,-,,,,,,,,,,8.3,11.4,0.73,0.009,-,14.36,4.17,11.71,5.82,2.78,-5.25
