선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
2070,메인기록,2024,삼성,20,77,71,23,4,8,8,4,25,2,0.452,0.324,0.377,0.549,0.926,0.405,-,,,,,,,,,,,,,,,,,,,,
2070,메인기록,2023,삼성,8,21,18,3,1,3,3,3,6,0,0.182,0.167,0.286,0.389,0.675,0.301,-,,,,,,,,,,,,,,,,,,,,
2070,메인기록,2022,삼성,2,2,2,0,0,0,0,0,1,0,0.000,0.000,0.000,0.000,0.000,0.000,-,,,,,,,,,,,,,,,,,,,,
2070,기본기록,2024,삼성,20,77,71,23,4,8,8,4,25,2,,0.324,,,,,,16,2,1,0,2,0,0,0,0,,,,,,,,,,,
2070,기본기록,2023,삼성,8,21,18,3,1,3,3,3,6,0,,0.167,,,,,,1,1,0,0,0,0,0,0,0,,,,,,,,,,,
2070,기본기록,2022,삼성,2,2,2,0,0,0,0,0,1,0,,0.000,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
2070,세부기록,2024,삼성,,77,,,,,,,,,0.452,0.324,,,0.926,0.405,-,,,,,,,,,,5.2,32.5,0.16,0.225,17.75,15.67,8.81,13.99,6.52,0.40,4.10
2070,세부기록,2023,삼성,,21,,,,,,,,,0.182,0.167,,,0.675,0.301,-,,,,,,,,,,14.3,28.6,0.50,0.222,18.00,2.22,4.00,1.82,3.81,0.01,-0.88
2070,세부기록,2022,삼성,,2,,,,,,,,,0.000,0.000,,,0.000,0.000,-,,,,,,,,,,0.0,50.0,0.00,0.000,-,0.00,0.00,-0.37,-,0.00,-0.63
