선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
2005,메인기록,2024,삼성,20,24,21,3,0,1,3,2,10,0,0.250,0.143,0.208,0.190,0.398,0.190,-,,,,,,,,,,,,,,,,,,,,
2005,메인기록,2023,삼성,10,16,10,1,0,2,1,4,4,1,0.167,0.100,0.438,0.100,0.538,0.336,-,,,,,,,,,,,,,,,,,,,,
2005,메인기록,2022,삼성,1,1,1,0,0,0,0,0,1,0,-,0.000,0.000,0.000,0.000,0.000,-,,,,,,,,,,,,,,,,,,,,
2005,기본기록,2024,삼성,20,24,21,3,0,1,3,2,10,0,,0.143,,,,,,2,1,0,0,0,1,1,0,1,,,,,,,,,,,
2005,기본기록,2023,삼성,10,16,10,1,0,2,1,4,4,1,,0.100,,,,,,1,0,0,0,2,0,0,0,0,,,,,,,,,,,
2005,기본기록,2022,삼성,1,1,1,0,0,0,0,0,1,0,,0.000,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
2005,세부기록,2024,삼성,,24,,,,,,,,,0.250,0.143,,,0.398,0.190,-,,,,,,,,,,8.3,41.7,0.20,0.047,-,0.84,1.13,-0.35,4.03,-0.45,-3.43
2005,세부기록,2023,삼성,,16,,,,,,,,,0.167,0.100,,,0.538,0.336,-,,,,,,,,,,25.0,25.0,1.00,0.000,-,1.35,4.04,1.89,6.51,0.19,-0.16
2005,세부기록,2022,삼성,,1,,,,,,,,,-,0.000,,,0.000,0.000,-,,,,,,,,,,0.0,100.0,0.00,0.000,-,0.00,0.00,-0.19,-,0.00,-0.32
