선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
2005,메인기록,2024,삼성,18,60,53,16,3,7,8,5,14,0,0.351,0.302,0.367,0.509,0.876,0.382,-,,,,,,,,,,,,,,,,,,,,
2005,메인기록,2023,삼성,8,14,11,3,1,3,1,2,3,1,0.286,0.273,0.429,0.545,0.974,0.430,-,,,,,,,,,,,,,,,,,,,,
2005,기본기록,2024,삼성,18,60,53,16,3,7,8,5,14,0,,0.302,,,,,,11,2,0,0,1,1,1,0,0,,,,,,,,,,,
2005,기본기록,2023,삼성,8,14,11,3,1,3,1,2,3,1,,0.273,,,,,,2,0,0,0,1,0,0,1,0,,,,,,,,,,,
2005,세부기록,2024,삼성,,60,,,,,,,,,0.351,0.302,,,0.876,0.382,-,,,,,,,,,,8.3,23.3,0.36,0.207,17.67,10.66,7.58,9.62,2.99,0.05,1.91
2005,세부기록,2023,삼성,,14,,,,,,,,,0.286,0.273,,,0.974,0.430,-,,,,,,,,,,14.3,21.4,0.67,0.272,11.00,2.61,7.82,2.86,1.00,0.18,1.06
