선수ID,기록유형,시즌,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,단타,2루타,3루타,고4,HBP,희플,희타,병살,도실,볼넷%,삼진%,볼/삼,ISO,타수/홈런,RC,RC/27,wRC,SPD,wSB,wRAA
2121,메인기록,2023,삼성,10,8,8,2,1,1,2,0,2,0,0.200,0.250,0.250,0.625,0.875,0.359,-,,,,,,,,,,,,,,,,,,,,
2121,메인기록,2024,삼성,26,19,19,4,1,2,2,0,4,4,0.214,0.211,0.211,0.368,0.579,0.248,-,,,,,,,,,,,,,,,,,,,,
2121,기본기록,2023,삼성,10,8,8,2,1,1,2,0,2,0,,0.250,,,,,,1,0,0,0,0,0,0,1,0,,,,,,,,,,,
2121,기본기록,2024,삼성,26,19,19,4,1,2,2,0,4,4,,0.211,,,,,,3,0,0,0,0,0,0,0,0,,,,,,,,,,,
2121,세부기록,2023,삼성,,8,,,,,,,,,0.200,0.250,,,0.875,0.359,-,,,,,,,,,,0.0,25.0,0.00,0.375,8.00,0.63,2.41,1.12,-6.19,0.00,0.09
2121,세부기록,2024,삼성,,19,,,,,,,,,0.214,0.211,,,0.579,0.248,-,,,,,,,,,,0.0,21.0,0.00,0.157,19.00,1.91,3.44,0.73,7.61,0.67,-1.71
