player_id,season,team,category,subcategory,games,plate_appearances,at_bats,hits,home_runs,runs,rbis,walks,strikeouts,stolen_bases,singles,doubles,triples,intentional_walks,hit_by_pitch,sacrifice_flies,sacrifice_bunts,gidp,caught_stealing,babip,avg,ops,woba,war,bb_pct,k_pct,bb_k_ratio,iso,ab_hr_ratio,rc,rc27,wrc,spd,wsb,wraa
1321,2023,삼성,month,6-6,19.0,54,44.0,10.0,0.0,3.0,3.0,8.0,12.0,0.0,7.0,3.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.313,0.227,0.665,0.318,0.59,14.8,22.2,0.67,0.068,-,5.11,3.83,5.52,0.31,0.05,-1.41
1321,2023,삼성,month,7-7,12.0,24,19.0,3.0,1.0,2.0,3.0,4.0,8.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.158,0.649,0.311,0.59,16.7,33.3,0.5,0.158,19.0,2.43,4.11,2.31,2.81,0.02,-0.78
1321,2023,삼성,month,8-8,12.0,19,17.0,3.0,0.0,0.0,0.0,2.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.231,0.176,0.439,0.221,0.59,10.5,21.0,0.5,0.0,-,0.56,0.94,0.27,-4.34,0.01,-2.17
1321,2023,삼성,month,9-9,7.0,9,8.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.125,0.347,0.183,0.59,11.1,22.2,0.5,0.0,-,0.28,1.08,-0.19,4.31,0.01,-1.34
1321,2023,삼성,outcount,0-0,31.0,42,31.0,5.0,0.0,0.0,1.0,8.0,11.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.25,0.161,0.544,0.288,0.59,19.0,26.2,0.73,0.033,-,2.46,2.14,3.14,-1.61,-0.43,-2.25
1321,2023,삼성,pitchside,left,15.0,35,27.0,4.0,1.0,2.0,4.0,7.0,7.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.158,0.148,0.602,0.302,0.59,20.0,20.0,1.0,0.111,27.0,2.59,2.8,3.06,-1.84,0.03,-1.44
1321,2023,삼성,pitchside,right,41.0,77,63.0,14.0,0.0,4.0,1.0,11.0,19.0,0.0,12.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.318,0.222,0.601,0.292,0.59,14.3,24.7,0.58,0.032,-,6.2,3.16,6.03,0.87,0.07,-3.87
1321,2023,삼성,pitchside,unknown,8.0,13,9.0,1.0,0.0,1.0,2.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.25,0.111,0.607,0.333,0.59,7.7,38.5,0.2,0.111,-,0.94,2.81,1.5,-1.97,-0.45,-0.17
1321,2023,삼성,total,total,57.0,125,99.0,19.0,1.0,7.0,7.0,19.0,31.0,0.0,15.0,3.0,0.0,1.0,5.0,0.0,2.0,4.0,1.0,0.269,0.192,0.603,0.307,0.22,15.2,24.8,0.61,0.061,99.0,9.73,3.02,12.03,0.64,-0.51,-2.69
1321,2023,삼성,weekday,0-0,2.0,9,4.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.25,0.875,0.484,0.59,33.3,33.3,1.0,0.0,-,1.42,9.6,2.28,1.81,0.01,1.12
1321,2023,삼성,weekday,1-1,7.0,15,12.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.2,0.167,0.5,0.271,0.59,13.3,13.3,1.0,0.0,-,0.74,1.82,0.89,-0.52,0.01,-1.04
