player_id,season,team,category,subcategory,games,plate_appearances,at_bats,hits,home_runs,runs,rbis,walks,strikeouts,stolen_bases,singles,doubles,triples,intentional_walks,hit_by_pitch,sacrifice_flies,sacrifice_bunts,gidp,caught_stealing,babip,avg,obp,slg,ops,woba,war,bb_pct,k_pct,bb_k_ratio,iso,ab_hr_ratio,rc,rc27,wrc,spd,wsb,wraa
1321,2024,삼성,월별,3-3,4.0,11,9.0,3.0,0.0,2.0,1.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.429,0.333,,,0.899,0.414,-,18.2,18.2,1.0,0.111,-,2.05,9.25,2.08,3.81,0.01,0.67
1436,2024,삼성,타격위치별,hitR,117.0,355,302.0,73.0,22.0,34.0,57.0,31.0,109.0,4.0,40.0,10.0,1.0,0.0,15.0,3.0,7.0,5.0,1.0,0.293,0.242,,,0.839,0.365,-,8.7,30.7,0.28,0.258,13.73,53.69,5.99,51.61,3.43,0.45,6.0
1436,2024,삼성,타격위치별,hitL,58.0,0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,0.67,-
1436,2024,삼성,월별,8-8,11.0,44,35.0,12.0,2.0,10.0,7.0,5.0,14.0,1.0,6.0,4.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.5,0.343,,,1.084,0.465,-,11.4,31.8,0.36,0.286,17.5,10.85,11.72,10.37,4.09,0.21,4.71
1436,2024,삼성,월별,4-4,23.0,50,38.0,11.0,4.0,8.0,10.0,5.0,13.0,1.0,4.0,3.0,0.0,0.0,4.0,1.0,3.0,1.0,0.0,0.318,0.289,,,1.101,0.459,-,10.0,26.0,0.38,0.395,9.5,11.56,10.07,11.52,3.49,0.2,5.1
1436,2024,삼성,월별,7-7,19.0,70,58.0,13.0,6.0,14.0,13.0,9.0,23.0,0.0,5.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.241,0.224,,,0.943,0.402,-,12.9,32.9,0.39,0.362,9.67,12.2,7.01,12.51,7.44,-0.41,3.52
1436,2024,삼성,월별,9-9,15.0,34,31.0,4.0,2.0,3.0,4.0,3.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.133,0.129,,,0.529,0.233,-,8.8,41.2,0.21,0.194,15.5,1.9,1.83,0.85,0.15,0.01,-3.52
1436,2024,삼성,월별,6-6,24.0,77,71.0,16.0,3.0,9.0,8.0,3.0,24.0,5.0,13.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.295,0.225,,,0.628,0.283,-,3.9,31.2,0.12,0.127,23.67,7.64,3.62,5.45,6.35,0.42,-4.44
1436,2024,삼성,월별,5-5,24.0,69,60.0,15.0,5.0,10.0,14.0,4.0,19.0,1.0,8.0,2.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,0.27,0.25,,,0.857,0.366,-,5.8,27.5,0.21,0.283,12.0,10.77,6.06,10.07,4.0,0.21,1.21
1436,2024,삼성,월별,3-3,6.0,11,9.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,0.222,,,0.586,0.299,-,18.2,18.2,1.0,0.0,-,1.11,4.26,0.93,6.03,0.18,-0.48
1436,2024,삼성,요일별,1-1,17.0,51,43.0,10.0,3.0,7.0,9.0,7.0,12.0,1.0,5.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.241,0.233,,,0.821,0.354,-,13.7,23.5,0.58,0.255,14.33,7.49,5.77,6.89,2.92,0.2,0.34
1436,2024,삼성,요일별,2-2,23.0,73,63.0,23.0,7.0,17.0,19.0,5.0,20.0,1.0,13.0,2.0,1.0,0.0,4.0,0.0,1.0,2.0,1.0,0.444,0.365,,,1.206,0.508,-,6.8,27.4,0.25,0.397,9.0,20.41,12.53,20.1,6.24,-0.23,10.72
1436,2024,삼성,요일별,4-4,20.0,56,44.0,11.0,4.0,11.0,8.0,7.0,10.0,4.0,6.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.233,0.25,,,0.945,0.414,-,12.5,17.9,0.7,0.295,11.0,11.05,8.52,10.63,6.2,0.71,3.43
1436,2024,삼성,요일별,6-6,23.0,67,57.0,10.0,2.0,7.0,8.0,5.0,24.0,0.0,7.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0,0.25,0.175,,,0.582,0.274,-,7.5,35.8,0.21,0.123,28.5,5.34,2.94,4.16,5.09,-0.42,-4.45
1436,2024,삼성,요일별,5-5,18.0,51,46.0,8.0,3.0,6.0,6.0,2.0,23.0,2.0,4.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.238,0.174,,,0.611,0.261,-,3.9,45.1,0.09,0.217,15.33,4.09,2.69,2.56,4.35,0.35,-3.99
1436,2024,삼성,요일별,3-3,20.0,53,45.0,10.0,3.0,8.0,6.0,5.0,18.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.292,0.222,,,0.816,0.356,-,9.4,34.0,0.28,0.267,15.0,7.97,5.98,7.26,5.46,0.2,0.45
1436,2024,삼성,요일별,0-0,1.0,4,4.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,,,0.5,0.23,-,0.0,50.0,0.0,0.0,-,0.25,2.25,0.09,1.81,0.0,-0.43
1436,2024,삼성,상대팀별,7,13.0,38,33.0,11.0,4.0,8.0,9.0,3.0,9.0,1.0,5.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.333,0.333,,,1.183,0.483,-,7.9,23.7,0.33,0.455,8.25,11.08,13.01,9.57,10.27,0.19,4.69
